"mid","standard_question","standard_answer"
"117","某潜水中心使用的压缩空气瓶，容积为 \( 32\mathrm{\;L} \)，在温度为 \( 27^{ \circ }\mathrm{C} \) 时，瓶内压强为 \( 1500\mathrm{\;Pa} \)。按充气站规定，当使用到其压强在 \( 17^{ \circ }\mathrm{C} \) 时降为 \( 100\mathrm{\;Pa} \)，便应重新充气，以免瓶内混入其他气体而降低空气质量。该潜水中心在 \( 22^{ \circ }\mathrm{C} \) 时，平均每天要用 \( 10^{5}\mathrm{\;Pa} \) 的空气 \( 439\mathrm{\;L} \)。问一瓶压缩空气能用多少天？ (结果保留2位有效数字)"," 10"
"378","一个质量为 \( 90\,\mathrm{g} \)、比热容为 \( 840\,\mathrm{J/(kg \cdot K)} \) 的容器内盛有 \( 500\,\mathrm{g} \) 的 \( 10^\circ\mathrm{C} \) 水。随后加入 \( 100\,\mathrm{g} \) 的 \( 0^\circ\mathrm{C} \) 冰和 \( 50\,\mathrm{g} \) 的 \( 100^\circ\mathrm{C} \) 蒸汽，求混合后的最终温度。 (结果以$ \mathrm{℃} $为单位，保留3位有效数字)"," 43.6"
"124","有一位园艺师能看清距离在 \( 100 \mathrm{\;cm} \) 到 \( 300 \mathrm{\;cm} \) 范围内的植物标签，将眼睛简化为一个距离视网膜 \( 2.0 \mathrm{\;cm} \) 的简单透镜。求：为看清 \( 25 \mathrm{\;cm} \) 近处的种子细节，须配多少焦距的透镜？ (结果以$ \mathrm{\;{cm}} $为单位，保留2位有效数字)","33"
"234","一个微波接收器架设于平静湖面正上方 0.5 米处。一颗辐射波长为 21 厘米的单色微波信号的射电星正从地平线缓缓升起，接收器会交替记录到信号强度的极大值和极小值。当第一次观测到极大值时，射电星相对于水平面的仰角是多少？ (结果以$ { \circ $为单位，保留1位有效数字)"," 6"
"366","在空间物理实验中，电子被加速至具有 \( 1.2 \times 10^{4} \) 电子伏特的动能，并以水平方向由东向西运动。地磁场的竖直分量大小为 \( B = 5.5 \times 10^{-5} \) 特斯拉，方向向下。若电子质量 \( m_e = 9.1 \times 10^{-21} \) 千克，求电子在该磁场中的加速度大小。 (结果使用科学计数法，以$ {\mathrm{\;m}/{\mathrm{s}}^{2} $为单位，保留2位有效数字)","6.3 \times 10^{14}"
"119","现有\( 1.5  \mathrm{mol} \)氧气在\( 400  \mathrm{K} \)和\( 300  \mathrm{K} \)之间进行卡诺循环。若循环中氧气体积最小为\( 12  \mathrm{L} \)，最大为\( 48  \mathrm{L} \)，计算该氧气从高温热源吸收的热量。 (结果使用科学计数法，以$ \mathrm{\;J}  $为单位，保留3位有效数字)","3.33 \times 10^{3}"
"70","一个衍射光栅的总宽度为 5 厘米，刻线密度为每毫米 400 条。当波长为 500 纳米的平行光束垂直入射时，光栅的第四级主极大位于单缝衍射的第一极小值处。试计算第二级主极大的半角宽度。 (结果使用科学计数法，保留3位有效数字)","1.09 \times 10^{-5}"
"152","在法布里-珀罗干涉仪中，两平行玻璃板内表面镀有高反射膜，其振幅反射系数为 \( r = 0.8944 \)。计算该干涉仪的锐度系数。 (结果保留2位有效数字)","80"
"196","望远镜物镜直径为 \( {75}\mathrm{\;mm} \)，观察者瞳孔直径为 \( {3.0}\mathrm{\;mm} \)。当放大倍率为 20 倍时，求月亮在望远镜中的像的主观亮度与直接观察时的主观亮度之比。 (结果保留1位有效数字)","1"
"236","需要在一尺寸为 \( 5\mathrm{\;{cm}} \times  3\mathrm{\;{cm}} \times  5\mathrm{\;{cm}} \) 的矩形腔中激励 \( {\mathrm{{TE}}}_{011} \) 模，求出其谐振波长。如果腔体是铜( \( \sigma  = {5.7} \times  {10}^{7}\mathrm{\;S}/\mathrm{m} \) )制成的其 \( {Q}_{0} \) 值为多少？ (结果保留5位有效数字)","  14396"
"11","焦距 \( f' = 100 \, \text{mm} \) 的薄透镜，其孔径直径为 \( D_0 = 40 \, \text{mm} \)。在透镜前方 \( 50 \, \text{mm} \) 处有一个直径为 \( D_p = 35 \, \text{mm} \) 的光圈。求当物体位于 \( -\infty \) 时，系统的入瞳位置。 (结果以$ \mathrm{\;{mm}} $为单位，保留2位有效数字)","- 50"
"169","某直流电动机的额定功率为 \( 150  \mathrm{W} \)，工作电压为 \( U = 15  \mathrm{V} \)。使用电动势为 \( \mathcal{E} = 1.5  \mathrm{V} \)、内阻为 \( R = 0.45  \Omega \) 的电池供电。问：要使该电动机按设计参数正常运转，最少需要多少节这样的电池？ (结果保留3位有效数字)","120"
"2","介质 1 为理想介质，\( {\varepsilon }_{1} = 2{\varepsilon }_{0}，{\mu }_{\mathrm{r}} = {\mu }_{0}，{\sigma }_{1} = 0 \)；介质 2 为空气。平面电磁波由介质 1 向分界面上斜入射，入射波电场与入射面垂直。当入射角 \( {\theta }_{\mathrm{i}} = {60}^{ \circ  } \) 时。试求：入射波在 \( y \) 方向的相速度 \( {v}_{y} \) 是多少？ (结果使用科学计数法，以$ {\mathrm{\;m}/\mathrm{s}} $为单位，保留3位有效数字)","2.45 \times 10^{8}"
"249","声音在空气中的传播速度为 \( 330 \, \mathrm{m/s} \)。一架飞机以 \( 660 \, \mathrm{m/s} \) 的速度在观察者上方 \( 8000 \, \mathrm{m} \) 高度飞行。当观察者初次听到飞机的声音时，飞机离其正上方的水平距离是多少？ (结果以$ \mathrm{\;m} $为单位，保留5位有效数字)"," 13856"
"203","一个额定功率 \( P = {60}\mathrm{\;W} \) 、额定电压 \( U = {220}\mathrm{\;V} \) 的电阻丝的质量 \( m = {0.3}\mathrm{\;g} \) 。它通过一个周期性开关连接到稳压电源上，开关闭合时间 \( {T}_{1} = 8 \times  {10}^{-1}\mathrm{\;s} \) ，断开时间 \( {T}_{2} = {12} \times  {10}^{-3}\mathrm{\;s} \) ，电源电压为 \( {U}_{0} \) ，调整至平均功率等于额定功率。假定材料比热 \( c = {140}\mathrm{\;J} \cdot  {\mathrm{{kg}}}^{-1} \cdot  {\mathrm{K}}^{-1} \) 。估算一个周期内电阻丝温度变化量 \( {\Delta T} \) 。 (结果以$ \mathrm{\;K}  $为单位，保留2位有效数字)","  17"
"220","水银气压计的管内因残留一个气泡，导致测量值小于真实气压。当真实气压为 76 - 8 mmHg 时，气压计指示的水银柱高度仅为 748 mm，此时管中水银面至管顶的间隔为 80 mm。（空气视为理想气体，温度恒定。）试求：若此气压计的水银柱高度显示为 743 mm，实际气压应为多少？ (结果以$ \mathrm{{mmHg}}  $为单位，保留4位有效数字)"," 761.8"
"99","自然长度为 \( l_0 \)、劲度系数为 \( k \) 的轻弹簧，两端连接质量均为 \( m = 0.1 \) 千克的质点 \( C \) 和 \( D \)。初始时，弹簧未被拉伸或压缩，\( C \) 端竖直向下，且 \( C \) 距离水平桌面的高度为 \( H = 2 \) 米。系统从静止开始自由下落。\( C \) 与桌面发生弹性碰撞后反弹向上。当 \( C \) 再次与桌面接触时，弹簧的压缩量恰好达到最大值。求弹簧劲度系数 \( k \) 的大小。 (结果保留2位有效数字)","  0.19"
"275","用波长 \( 624  \mathrm{nm} \) 的单色光垂直照射一衍射光栅，该光栅的透明狭缝宽度为 \( 0.012  \mathrm{mm} \)，刻痕宽度为 \( 0.029  \mathrm{mm} \)，总刻线数为 \( 1000 \)。求中央明纹的半角宽度。 (结果使用科学计数法，以$ \mathrm{{rad}} $为单位，保留3位有效数字)","1.52 \times 10^{-5}"
"370","考虑一个 \( \pi \) 介子，其动量为 \( 200\,\mathrm{GeV}/c \)，它衰变为一个 \( \mu \) 子和一个中微子 \( \nu \)（过程为 \( \pi \to \mu + \nu \)）。在 \( \pi \) 介子静止的参考系中，其固有寿命为 \( \tau_{\pi 0} = 2.60 \times 10^{-8}\,\mathrm{s} \)，静能 \( E_{0\pi} = 139.6\,\mathrm{MeV} \)。已知 \( \mu \) 子的静能 \( E_{0\mu} = 105.7\,\mathrm{MeV} \)，中微子的静止质量为零。求中微子可能具有的最小动量。 (结果以$ \mathrm{{MeV}} $为单位，保留6位有效数字)"," 0.0104137"
"184","考虑一个密度均匀的旋转行星，以恒定角速度 \(\omega\) 绕其自转轴自转。行星的形状为近似椭球体，赤道半径 \(R_e\) 大于极半径 \(R_p\)，定义扁率参数 \(\varepsilon = \frac{R_e - R_p}{R_e}\) 以量化变形程度。由于这种形状变化，重力势产生一个扰动项：
\[
\Delta V(R, \theta) = -\frac{2}{5} \frac{G M \varepsilon R_e^2}{R^3} P_2(\cos \theta)
\]
其中 \(R\) 是到行星中心的距离，\(\theta\) 是球坐标系中的极角，\(P_2(\cos \theta) = \frac{3}{2} \cos^2 \theta - \frac{1}{2}\) 是二阶勒让德多项式。给定地球数据：自转角速度 \(\omega = 7.3 \times 10^{-5}  \text{rad/s}\)，表面重力加速度 \(g = 9.8  \text{m/s}^2\)，赤道半径 \(R_e = 6.378 \times 10^6  \text{m}\)。据此对地球的 \(\varepsilon\) 进行数值估算。 (结果使用科学计数法，保留2位有效数字)","1.1 \times 10^{-3}"
"146","Geiger 和 Marsdon 于 1913 年进行了 α 粒子散射实验，使用 \( {}^{214} \) Po 源产生能量 \( E = {7.68}\mathrm{{MeV}} \) 的 α 粒子。实验中，金箔厚度 \( d = {2.1} \times  {10}^{-7}\mathrm{\;m} \)，散射角 \( \theta  = {45}^{ \circ  } \)。探测器面积为 \( 1{\mathrm{\;{mm}}}^{2} \)，距离散射中心 \( \mathrm{C} \) 点 \( {10}\mathrm{\;{mm}} \)，测量值为 \( f = {3.7} \times  {10}^{-7} \)。已知金的原子质量 \( {W}_{A} = 197 \)，密度为 \( {19300}\mathrm{\;{kg}} \cdot  {\mathrm{m}}^{-3} \)，试通过这些数据求出金的原子序数。 (结果保留2位有效数字)"," 85"
"381","质量为 \( M = 12\,\mathrm{kg} \) 的木块沿着倾角为 \( \alpha = 30^\circ \) 的结冰斜坡向上滑动。在斜坡底端，木块的初速度为 \( v_0 = 3\,\mathrm{m/s} \)。当木块向上滑行距离 \( l = 0.4\,\mathrm{m} \) 时，一个质量为 \( m = 3\,\mathrm{kg} \) 的金属球垂直落入木块中，木块随即停止运动。已知球的初始速度为零，求球的下落高度。 (结果以$ \mathrm{\;m}  $为单位，保留2位有效数字)"," 16"
"307","已知一均匀平面波的频率为1.8吉赫兹，呈x方向极化，在相对磁导率为1、相对介电常数为81且电导率为4西门子/米的媒质中沿z方向传播，其电场强度的幅值为0.5伏/米。试求此媒质中该波的衰减常数。 (结果以$ \mathrm{{Np}}/\mathrm{m}  $为单位，保留4位有效数字)"," 80.86"
"56","三个带电粒子被约束在光滑的圆形轨道上。粒子 \( A \) 带电为 \( +q_{1} \)，粒子 \( B \) 和 \( C \) 带电都为 \( +q_{2} \)。在系统平衡时，粒子 \( B \) 与 \( C \) 之间的角距离为 \( 60^{\circ} \)。求 \( q_{1} \) 与 \( q_{2} \) 的比值。 (结果保留3位有效数字)","  12.5"
"129","动能为 6 百万电子伏 的 \( \alpha \) 粒子被金原子核散射，散射后 \( \alpha \) 粒子的速度在垂直于初始运动方向的分量为 \( 10^{7} \) 米/秒。求最接近距离。 (结果使用科学计数法，保留1位有效数字)","8 \times 10^{-14}"
"350","某一交联橡胶样品，初始长度 2.8 cm，宽度 1.0 cm，厚度 0.2 cm，质量为 0.518 g。在 \( 25^\circ \mathrm{C} \) 下，将其拉伸至长度变为原长的两倍，此时测得的张力为 \( 1.0  \mathrm{kg} \)。求该橡胶的 \( \bar{M}_{e} \) 。 (结果以$ {\mathrm{e}}  $为单位，保留4位有效数字)","  8180"
"125","聚环氧乙烷的晶体密度为 \( 1.33  \mathrm{g/cm^3} \)，其纯态时的熔融温度为 \( 80^\circ \mathrm{C} \)，重复单元的熔化焓是 \( 8.29  \mathrm{kJ/mol} \)。若该聚合物与水混合，且水的体积分数为 0.02，Flory-Huggins 相互作用参数 χ 为 0.45，求此混合体系的熔点。 (结果以$ {\mathrm{m}}  $为单位，保留3位有效数字)"," 75.6"
"147","计算在体心立方晶格中，当费米球恰好是第一布里渊区外接球时，平均每个原子的自由电子数目。 (结果以$ {\mathrm{e}} $为单位，保留3位有效数字)","  4.19"
"312","一束波长为 \( \lambda_0 = 0.500 \, \text{\AA} \) 的 X 射线光子撞击静止的自由电子，散射后光子的波长变为 \( \lambda = 0.522 \, \text{\AA} \)。请计算反冲电子获得的动能 \( E_K \) 。 (结果使用科学计数法，以$ {\mathrm{K}}  $为单位，保留3位有效数字)","1.68 \times 10^{-16}"
"245","一个处于基态的氢原子与另一个基态氢原子碰撞。  已知氢原子的质量是  \( {1.67} \times  {10}^{-{27}} \) 千克，电离能 \( E = {13.6} \) 电子伏 \( = {2.18} \times  {10}^{-{11}} \) 焦。如果发生非弹性碰撞，问最小速度为多少？ (结果使用科学计数法，保留3位有效数字)","6.26 \times 10^{4}"
"281","地下管线探测仪通过向地下发射电磁波并接收地下物体反射的电磁波来识别和定位浅层埋地物体。天线和接收器共置于地表同一位置。角频率为 \( \omega \) 的线偏振平面电磁波的电场表达式为：\[E = E_{0} e^{-\alpha z} \cos(\omega t - \beta z)。\]其中 \( E_{0} \) 是常数，\( \alpha \) 为衰减常数，\( \beta \) 为波数，具体公式为：  
\[\alpha = \omega \left\{ \frac{\mu \varepsilon}{2} \left[ \left(1 + \frac{\sigma^{2}}{\varepsilon^{2} \omega^{2}}\right)^{1/2} - 1 \right] \right\}^{1/2}, \]  
\[\beta = \omega \left\{ \frac{\mu \varepsilon}{2} \left[ \left(1 + \frac{\sigma^{2}}{\varepsilon^{2} \omega^{2}}\right)^{1/2} + 1 \right] \right\}^{1/2}. \]  
这里 \( \mu \)、\( \varepsilon \) 和 \( \sigma \) 分别表示磁导率、介电常数和电导率。当雷达信号到达物体时的振幅衰减至初始值的 \( \frac{1}{e} \)（约 37%）时，物体无法被探测。常用探测频率范围为 \( 1010\,\text{MHz} \sim 1000\,\text{MHz} \)，以平衡探测范围和分辨率。仪器的分辨率取决于两个相邻反射体的最小可分辨间距，该间距对应于反射波在接收器处的最小相位差为 \( 180^\circ \)。（已知：\( \mu_0 = 4\pi \times 10^{-7}\,\text{H/m} \)，\( \varepsilon_0 = 8.85 \times 10^{-12}\,\text{F/m} \))。  
考虑两根水平平行埋设的金属管道，深度为 \( 4\,\text{m} \)，土壤的电导率为 \( 1.0\,\text{mS/m} \)，介电常数为 \( 9\varepsilon_0 \)。假设探测仪近似位于其中一根管道的正上方进行测量，且接收器为点状。试确定使横向分辨率达到 \( 50\,\text{cm} \) 所需的最低频率。 (结果以$ \mathrm{{MHz}} $为单位，保留3位有效数字)","800"
"215","聚氯乙烯晶体的标准熔点 \( T_{\mathrm{m}}^{0} = 146^{\circ}\mathrm{C} \)，熔融热为 \( 8.04 \times 10^{3} \, \mathrm{J}/\mathrm{mol} \) 单体单元。试问当分子链由6个单体单元构成时，因链末端效应导致的熔点下降是多少？ (结果以$ { \circ  }\mathrm{C} $为单位，保留3位有效数字)"," 52.9"
"43","在体积 \( V = 2 \times 10^{-3} \, \text{m}^3 \) 的容器中，密封有质量 \( m = 0.01 \, \text{kg} \) 的氧气，其压强为 \( p = 9.07 \times 10^4 \, \text{Pa} \)。计算氧气分子的平均动能。 (结果使用科学计数法，以$ \mathrm{\;J}  $为单位，保留3位有效数字)","2.43 \times 10^{-21}"
"87","质量为 \( 50 \, \mathrm{kg} \) 的人以固定周期在原地连续跳跃，跳跃时克服重力做功的平均功率为 135 W。每次跳跃中与地面接触的时间占周期时间的比例为 \( \frac{2}{5} \)。若此人的心跳周期与跳跃周期相同，且每次心跳泵出 \( 60 \times 10^{-6} \, \mathrm{m}^3 \) 血液。当将 \( 9 \times 10^{-6} \, \mathrm{kg} \) 的试剂注入其静脉后，经过足够长时间，血液中试剂浓度稳定在 \( 2 \times 10^{3} \, \mathrm{kg/m}^3 \)。求：此人每分钟的心跳次数。 (结果保留3位有效数字)"," 100"
"200","一个气瓶的容积为 \( 30  \mathrm{L} \)，初始装有压强为 \( 100  \mathrm{bar} \)、温度为 \( 27^{\circ} \mathrm{C} \) 的氦气，系统处于绝热状态。打开阀门使氦气缓慢流入一个大型气囊，直到气瓶内气体摩尔数减为初始的十分之一。流入气囊的气体最终与周围大气（大气温度为 \( 27^{\circ} \mathrm{C} \)，压强为 \( 1  \mathrm{bar} \)）达到热平衡。假设氦气为理想气体，求气瓶内剩余气体的最终温度 \( T_f \)。 (结果以$ \mathrm{\;K} $为单位，保留3位有效数字)"," 64.6"
"89","水星绕太阳运动的轨道在狭义相对论效应下会发生进动，其轨道形状由以下方程描述：\(\frac{1}{r} = \frac{1}{r_{0}}\left\{  {1 + \varepsilon \cos \left\lbrack  {\alpha \left( {\varphi  - \varphi_{0}}\right) }\right\rbrack  }\right\}\)这里 \(\alpha \neq 1\)（\(\alpha = 1\) 表示经典无进动情形）。已知水星轨道的平均半径为 \(58\times 10^{6}\mathrm{km}\)，轨道周期为88天，计算每100年水星轨道因该效应产生的进动角度（注意，此效应仅贡献部分进动）。 (结果以$ {\prime $为单位，保留3位有效数字)"," 6.87"
"282","在光滑水平面上，一轻弹簧的右端固定，左端系着物块 \( A \)。另一物块 \( B \) 在 \( A \) 的左侧与它紧靠， \( B \) 的质量是 \( A \) 的 2.5 倍。 \( A \) 与 \( B \) 的左侧有一墙壁与弹簧垂直，物块与此壁相距 \( L = \dfrac{14\pi}{13}  \text{cm} \)。今使 \( A, B \) 从原来位置向右移一段距离，并令其处于静止状态后予以释放。已知 \( A \) 在第一次通过平衡位置后完成一次全振动时，与 \( B \) 恰好发生第一次碰撞。假设所有碰撞均为完全弹性碰撞，且两物块的大小均可忽略不计。试求开始时弹簧的压缩量 \( L_0  \) 是多少？ (结果以$ \mathrm{\;{cm}} $为单位，保留3位有效数字)","  2.01"
